"cityid","cityprovid","cityname","createdby","createddate","updatedby","updateddate","isactive"
1572,15,KOTA SUNGAI PENUH,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1601,16,KABUPATEN OGAN KOMERING ULU,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1602,16,KABUPATEN OGAN KOMERING ILIR,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1603,16,KABUPATEN MUARA ENIM,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1604,16,KABUPATEN LAHAT,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1605,16,KABUPATEN MUSI RAWAS,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1606,16,KABUPATEN MUSI BANYUASIN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1607,16,KABUPATEN BANYUASIN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1608,16,KABUPATEN OGAN KOMERING ULU TIMUR,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1609,16,KABUPATEN OGAN KOMERING ULU SELATAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1610,16,KABUPATEN OGAN ILIR,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1611,16,KABUPATEN EMPAT LAWANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1612,16,KABUPATEN PENUKAL ABAB LEMATANG ILIR,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1613,16,KABUPATEN MUSI RAWAS UTARA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1671,16,KOTA PALEMBANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1672,16,KOTA PAGAR ALAM,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1673,16,KOTA LUBUK LINGGAU,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1674,16,KOTA PRABUMULIH,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1701,17,KABUPATEN BENGKULU SELATAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1702,17,KABUPATEN REJANG LEBONG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1703,17,KABUPATEN BENGKULU UTARA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1704,17,KABUPATEN KAUR,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1705,17,KABUPATEN SELUMA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1706,17,KABUPATEN MUKO MUKO,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1707,17,KABUPATEN LEBONG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1708,17,KABUPATEN KEPAHIANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1709,17,KABUPATEN BENGKULU TENGAH,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1771,17,KOTA BENGKULU,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1801,18,KABUPATEN LAMPUNG SELATAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1802,18,KABUPATEN LAMPUNG TENGAH,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1803,18,KABUPATEN LAMPUNG UTARA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1804,18,KABUPATEN LAMPUNG BARAT,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1805,18,KABUPATEN TULANG BAWANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1806,18,KABUPATEN TANGGAMUS,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1807,18,KABUPATEN LAMPUNG TIMUR,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1808,18,KABUPATEN WAY KANAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1809,18,KABUPATEN PESAWARAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1810,18,KABUPATEN PRINGSEWU,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1811,18,KABUPATEN MESUJI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1812,18,KABUPATEN TULANG BAWANG BARAT,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1813,18,KABUPATEN PESISIR BARAT,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1871,18,KOTA BANDAR LAMPUNG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1872,18,KOTA METRO,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1901,19,KABUPATEN BANGKA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1902,19,KABUPATEN BELITUNG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1903,19,KABUPATEN BANGKA SELATAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1904,19,KABUPATEN BANGKA TENGAH,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1905,19,KABUPATEN BANGKA BARAT,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1906,19,KABUPATEN BELITUNG TIMUR,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
1971,19,KOTA PANGKAL PINANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
2101,21,KABUPATEN BINTAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
2102,21,KABUPATEN KARIMUN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
2103,21,KABUPATEN NATUNA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
2104,21,KABUPATEN LINGGA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
2105,21,KABUPATEN KEPULAUAN ANAMBAS,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
2171,21,KOTA BATAM,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
2172,21,KOTA TANJUNG PINANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3101,31,KABUPATEN ADMINISTRASI KEPULAUAN SERIBU,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3171,31,KOTA ADMINISTRASI JAKARTA PUSAT,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3172,31,KOTA ADMINISTRASI JAKARTA UTARA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3173,31,KOTA ADMINISTRASI JAKARTA BARAT,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3174,31,KOTA ADMINISTRASI JAKARTA SELATAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3175,31,KOTA ADMINISTRASI JAKARTA TIMUR,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3201,32,KABUPATEN BOGOR,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3202,32,KABUPATEN SUKABUMI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3203,32,KABUPATEN CIANJUR,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3204,32,KABUPATEN BANDUNG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3205,32,KABUPATEN GARUT,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3206,32,KABUPATEN TASIKMALAYA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3207,32,KABUPATEN CIAMIS,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3208,32,KABUPATEN KUNINGAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3209,32,KABUPATEN CIREBON,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3210,32,KABUPATEN MAJALENGKA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3211,32,KABUPATEN SUMEDANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3212,32,KABUPATEN INDRAMAYU,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3213,32,KABUPATEN SUBANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3214,32,KABUPATEN PURWAKARTA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3215,32,KABUPATEN KARAWANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3216,32,KABUPATEN BEKASI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3217,32,KABUPATEN BANDUNG BARAT,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3218,32,KABUPATEN PANGANDARAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3271,32,KOTA BOGOR,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3272,32,KOTA SUKABUMI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3273,32,KOTA BANDUNG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3274,32,KOTA CIREBON,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3275,32,KOTA BEKASI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3276,32,KOTA DEPOK,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3277,32,KOTA CIMAHI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3278,32,KOTA TASIKMALAYA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3279,32,KOTA BANJAR,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3301,33,KABUPATEN CILACAP,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3302,33,KABUPATEN BANYUMAS,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3303,33,KABUPATEN PURBALINGGA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3304,33,KABUPATEN BANJARNEGARA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3305,33,KABUPATEN KEBUMEN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3306,33,KABUPATEN PURWOREJO,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3307,33,KABUPATEN WONOSOBO,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3308,33,KABUPATEN MAGELANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3309,33,KABUPATEN BOYOLALI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3310,33,KABUPATEN KLATEN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3311,33,KABUPATEN SUKOHARJO,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3312,33,KABUPATEN WONOGIRI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3313,33,KABUPATEN KARANGANYAR,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3314,33,KABUPATEN SRAGEN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3315,33,KABUPATEN GROBOGAN,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3316,33,KABUPATEN BLORA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3317,33,KABUPATEN REMBANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3318,33,KABUPATEN PATI,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3319,33,KABUPATEN KUDUS,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3320,33,KABUPATEN JEPARA,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3321,33,KABUPATEN DEMAK,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3322,33,KABUPATEN SEMARANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3323,33,KABUPATEN TEMANGGUNG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3324,33,KABUPATEN KENDAL,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
3325,33,KABUPATEN BATANG,"1","2022-05-19 08:08:01","1","2022-05-19 08:08:01",1
